"Obyvate¾stvo trvalo bývajúce v SR pod¾a súèasnej ekonomickej aktivity, pohlavia a veku, SODB 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Územie,Súèasná ekonomická aktivita - nezistená,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Súèasná ekonomická aktivita - pracujúci (okrem dôchodcov),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Súèasná ekonomická aktivita - pracujúci dôchodcovia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Súèasná ekonomická aktivita - osoby na materskej dovolenke,,,,,,,,,,,,,,,,,,,,,Súèasná ekonomická aktivita - osoby na rodièovskej dovolenke,,,,,,,,,,,,,,,,,,,,,,,,,,Súèasná ekonomická aktivita - nezamestnaní,,,,,,,,,,,,,,,,,,,,,,,,,Súèasná ekonomická aktivita - študenti stredných škôl,,,,,,,,,,,,,Súèasná ekonomická aktivita - študenti vysokých škôl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Súèasná ekonomická aktivita - osoby v domácnosti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Súèasná ekonomická aktivita - dôchodcovia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Súèasná ekonomická aktivita - príjemcovia kapitálových príjmov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Súèasná ekonomická aktivita - deti do 16 rokov (nar. po 20.05.1995),,,,,,,,,,,,,Súèasná ekonomická aktivita - iné,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celkový úhrn
,muži,,,,,,,,,,,,,,,,,,,,,ženy,,,,,,,,,,,,,,,,,,,,,úhrn,muži,,,,,,,,,,,,,,,,,,,,ženy,,,,,,,,,,,,,,,,,,,úhrn,muži,,,,,,,,,,,,,,,,,,,ženy,,,,,,,,,,,,,,,,,,,úhrn,muži,,,,,,,,,,ženy,,,,,,,,,,úhrn,muži,,,,,,,,,,,ženy,,,,,,,,,,,,,,úhrn,muži,,,,,,,,,,,,ženy,,,,,,,,,,,,úhrn,muži,,,,,,ženy,,,,,,úhrn,muži,,,,,,,,,,,,,,,,,,,ženy,,,,,,,,,,,,,,,,,,,úhrn,muži,,,,,,,,,,,,,,,,,,ženy,,,,,,,,,,,,,,,,,,,úhrn,muži,,,,,,,,,,,,,,,,,,,,,ženy,,,,,,,,,,,,,,,,,,,,,úhrn,muži,,,,,,,,,,,,,,,,,,,ženy,,,,,,,,,,,,,,,,,,úhrn,muži,,,,,,ženy,,,,,,úhrn,muži,,,,,,,,,,,,,,,,,,,,ženy,,,,,,,,,,,,,,,,,,,,úhrn,
,nezistený,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100-104,105+,spolu,nezistený,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100-104,105+,spolu,,nezistený,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100-104,spolu,nezistený,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,spolu,,nezistený,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,spolu,nezistený,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,spolu,,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,60-64,spolu,nezistený,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,spolu,,nezistený,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,spolu,nezistený,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,70-74,90-94,spolu,,nezistený,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,spolu,nezistený,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,spolu,,nezistený,15-19,20-24,25-29,30-34,spolu,nezistený,15-19,20-24,25-29,30-34,spolu,,nezistený,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,spolu,nezistený,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,spolu,,nezistený,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,spolu,nezistený,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,spolu,,nezistený,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100-104,105+,spolu,nezistený,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100-104,105+,spolu,,nezistený,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,spolu,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,95-99,105+,spolu,,nezistený,0-4,5-9,10-14,15-19,spolu,nezistený,0-4,5-9,10-14,15-19,spolu,,nezistený,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100-104,spolu,nezistený,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100-104,spolu,,
SR,335,"13,319","20,126","18,055","17,940","15,825","12,224","11,849","10,305","8,235","4,669","2,311","1,349",935,680,632,196,108,22,3,"139,118",262,"12,139","18,033","16,201","15,026","12,126","9,203","8,678","7,729","6,533","3,958","2,507","1,985","1,991","1,654","1,887",594,176,52,15,"120,749","259,867",178,"5,244","77,673","155,411","179,834","167,766","135,812","136,833","132,773","117,587","22,819",786,385,89,87,39,11,2,1,"1,133,330",131,"3,035","50,732","115,195","124,239","138,743","128,891","138,128","137,726","84,128","4,410",705,412,141,141,84,33,12,"926,886","2,060,216",3,55,203,492,735,"1,269","1,858","2,694","3,831","5,270","16,333","8,574","3,359","1,561",750,50,14,6,"47,057",5,55,151,354,595,820,"1,185","1,575","2,404","16,117","17,096","6,647","2,859","1,863","1,443",33,10,4,"53,216","100,273",6,29,30,47,32,6,2,1,1,154,2,737,"4,013","8,522","8,847","3,577",587,37,2,"26,324","26,478",1,96,281,448,775,607,343,253,64,2,"2,870",19,"1,871","14,299","32,815","41,070","19,815","4,637",806,139,4,1,1,1,"115,478","118,348",29,"12,107","41,902","35,397","30,212","25,740","22,465","24,013","24,731","22,618","2,835","242,049",19,"8,376","27,615","25,853","25,380","25,069","22,631","24,195","25,347","16,021",530,"201,036","443,085",14,"104,469","7,597",60,8,"112,148",8,"101,659","6,237",50,9,"107,963","220,111",11,"4,800","50,201","8,632",775,223,134,140,111,98,55,28,45,13,16,11,3,7,"65,303",6,"6,654","69,796","8,840",967,326,158,136,102,102,51,40,55,28,43,19,10,6,"87,339","152,642",2,755,612,367,342,348,259,287,333,295,72,28,24,10,6,5,4,"3,749",6,977,"1,534","1,924","2,735","3,148","2,694","2,843","2,997","2,160",281,176,191,156,123,103,26,5,"22,079","25,828",44,482,"1,941","2,686","4,143","5,405","6,315","9,364","16,170","29,607","96,473","81,434","62,811","45,823","28,295","12,453","2,778",491,31,3,"406,749",69,419,"1,341","1,908","3,480","4,493","5,210","8,584","15,909","74,321","141,546","115,920","99,615","82,960","60,620","31,520","7,452","1,512",126,6,"657,011","1,063,760",2,31,221,458,584,612,430,442,393,315,70,21,14,24,5,4,2,2,"3,630",13,99,179,246,274,268,243,207,149,28,26,12,12,10,3,1,1,"1,771","5,401",86,"143,706","135,158","145,245","31,320","455,515",61,"136,625","128,053","137,729","29,461","431,929","887,444",19,"2,769","3,817","1,962","1,203","1,128",972,"1,068","1,255","1,385",356,44,21,16,14,41,18,11,1,"16,100",8,"2,173","3,256","1,805","1,338","1,468","1,472","1,750","2,157","1,577",140,54,42,41,41,117,28,15,1,"17,483","33,583","5,397,036"
